SH,Dir,Block ID,Ward,Comments,From,,To,,Closure  Resourcing Type,Cost (est.),Closure Type,ETA Shifts,Critical Asset Regular Maintenance,Detour Via,Site Block,Normal length ,Detour length,Mainline Time,Detour Time,Delay,Detour map
SH1,SB,1Ni0,North,NX2,Puhoi,SH1 Sth of Puhoi Rd SB,JHT,SH1 Northern Gateway Toll Road SB,L,7615.44,TBC,0,,TBC,SH1 Puhoi to JHT SB,15.3,NA,,,,Link to map - PLACEHOLDER
SH1,SB,1Ni1,North,,JHT,SH1 Northern Gateway Toll Road SB,Silverdale,SH1 Silverdale Interchange SB,O,11319,Full Closure,NA,JHT,HBC Hiway,SH1 JHT to Silverdale SB,11.8,14.9,8,20,12,Link to map - PLACEHOLDER
SH1,SB,1Ni2,North,,Silverdale,SH1 Silverdale Interchange SB,Greville Rd,SH1 Oteha Valley Rd Interchange SB,O,11319,Full Closure,NA,,Dairy Flat Hwy,SH1 Silverdale to Greville Rd SB,13.9,NA,10,20,10,Link to map - PLACEHOLDER
SH1,SB,1Ni3,North,NCI,Oteha Valley,SH1 Oteha Valley Rd Interchange SB,Constellation Dr,SH1 Upper Harbour Hwy Interchange SB,O,11319,Full Closure,0,,Albany Xpressway - Bush Rd - Paul Matthews,SH1 Oteha Valley to Constellation Dr SB,3.8,NA,3,12,9,Link to map - PLACEHOLDER
SH1,SB,1Ni4,North,,Constellation Dr,SH1 Upper Harbour Hwy Interchange SB,Onewa Road,SH1 Onewa Rd Interchange SB,Q,19041.75,Full Closure,3,,"East Coast Rd, Forest Hill Rd, Taharoto, Northcote, Lake Rd",SH1 Constellation Dr to Onewa Road SB,8.3,NA,5,16,11,Link to map - PLACEHOLDER
SH1,SB,1Ni5,Central,,Onewa Rd,SH1 Onewa Rd Interchange SB,Fanshawe St,SH1 Shelly Beach Rd Off Ramp to Fanshawe St Off Ramp SB,M,7847.28,Multi-Lane (LHS),NA,AHB,Multi-lane across the AHB (3 lanes closed),SH1 Onewa Rd to Fanshawe St SB,4.1,NA,4,6,2,Link to map - PLACEHOLDER
SH1,SB,1Ni6,Central,,Fanshawe St,SH1 Shelly Beach Rd Off Ramp to Fanshawe St Off Ramp SB,Greenlane,SH1 Greenlane East Interchange SB,R,23378.25,Full Closure,3,Vic Park + Newmarket Viaduct,Wellesley/Grafton Rd/ Khyber Pass/Broadway/GSR,SH1 Fanshawe St to Greenlane SB,7.6,NA,6,18,12,Link to map - PLACEHOLDER
SH1,SB,1Ni7,Central,,Greenlane,SH1 Greenlane East Interchange SB,Mt Wellington Hwy,SH1 Mt Wellington Hwy Interchange SB,P,15655.5,Full Closure,3,OHDS,"GSR, Sylvia Park Rd",SH1 Greenlane to Mt Wellington Hwy SB,8.1,NA,5,12,7,Link to map - PLACEHOLDER
SH1,SB,1Ni8,Central,,Mt Wellington Hwy,SH1 Mt Wellington Hwy Interchange SB,East Tamaki,SH1 East Tamaki Rd Interchange SB,P,15655.5,Full Closure,3,,"Mt Welly Hwy, GSR,",SH1 Mt Wellington Hwy to East Tamaki SB,8.3,NA,5,12,7,Link to map - PLACEHOLDER
SH1,SB,1Ni9,Central,,East Tamaki,SH1 East Tamaki Rd Interchange SB,Manukau,SH1 Redoubt Rd Off Ramp to Southwestern Off Ramp SB,L,7615.44,Full Closure,NA,,"Mt Welly Hwy, GSR,",SH1 East Tamaki to Manukau SB,6.4,NA,4,9,5,Link to map - PLACEHOLDER
SH1,SB,1Ni10,South,,Manukau,SH1 Redoubt Rd Off Ramp to Southwestern Off Ramp SB,Papakura,SH1 Papakura Interchange SB,Q,19041.75,Full Closure,NA,,"Mt Welly Hwy, GSR, Beach Rd",SH1 Manukau to Papakura SB,12.2,NA,7,16,9,Link to map - PLACEHOLDER
SH1,SB,1Ni11,South,P2D,Papakura,SH1 Papakura Interchange SB,Drury (South),SH1 Drury Interchange SB,L,7615.44,Full Closure,0,,"Beach Rd, GSR",SH1 Papakura to Drury (South) SB,5.7,NA,4,7,3,Link to map - PLACEHOLDER
SH1,SB,1Ni12,South,,Drury,SH1 Drury Interchange SB,Mill Rd (Bombay),SH1 Mill Rd Interchange SB,Q,19041.75,Full Closure,NA,,GSR,SH1 Drury to Mill Rd (Bombay) SB,10.9,NA,6,10,4,Link to map - PLACEHOLDER
SH1,SB,1Ni13,South,,Mill Rd (Bombay),SH1 Mill Rd Interchange SB,Nikau Rd,SH1 Nikau Rd Interchange SB,P,15655.5,Contraflow,1,,Single lane operates in both direction,SH1 Mill Rd (Bombay) to Nikau Rd SB,3,NA,2,,0,Link to map - PLACEHOLDER
SH1,SB,1Ni14,South,,Nikau Rd,SH1 Nikau Rd Interchange SB,Pokeno,SH1 Region 2/3 Boundary SB,P,15655.5,Contraflow,NA,,Single lane operates in both direction,SH1 Nikau Rd to Pokeno SB,4.7,NA,4,,0,Link to map - PLACEHOLDER
SH1,SB,1Ni15,South,,Pokeno,SH1 Region 2/3 Boundary SB,Mercer (Koheroa Rd),#N/A,P,15655.5,Contraflow,NA,,Single lane operates in both direction,SH1 Pokeno to Mercer (Koheroa Rd) SB,4.2,NA,3,,0,Link to map - PLACEHOLDER
SH1,SB,1Ni16,South,,Mercer (Koheroa Rd),#N/A,Island Block Rd,#N/A,P,15655.5,Contraflow,NA,,Single lane operates in both direction,SH1 Mercer (Koheroa Rd) to Island Block Rd SB,3.8,NA,3,,0,Link to map - PLACEHOLDER
SH1,SB,1Ni17,South,,Island Block Rd,#N/A,Hampton Downs Rd,#N/A,O,11319,Full Closure?,NA,,"Te Puea, Springhill, Foster Rd",SH1 Island Block Rd to Hampton Downs Rd SB,6.7,NA,4,12,8,Link to map - PLACEHOLDER
SH1,SB,1Ni18,South,,Hampton Downs,#N/A,Rangiriri,#N/A,O,11319,Full Closure?,NA,,"Whangamarino, Paddy Rd, Summertime Ln, Rodda, Te Wharepu, Chruchill East",SH1 Hampton Downs to Rangiriri SB,9.9,NA,7,12,5,Link to map - PLACEHOLDER
,,,,,,,,,,,,,,,,,,,,0,Link to map - PLACEHOLDER
SH1,NB,1Nd18,South,,Rangiriri,#N/A,Hampton Downs Rd,#N/A,O,11319,Full Closure?,NA,,"Whangamarino, Paddy Rd, Summertime Ln, Rodda, Te Wharepu, Chruchill East",SH1 Rangiriri to Hampton Downs Rd NB,11.1,NA,7,12,5,Link to map - PLACEHOLDER
SH1,NB,1Nd17,South,,Hampton Downs Rd,#N/A,Island Block Rd,#N/A,O,11319,Full Closure?,NA,,"Te Puea, Springhill, Foster Rd",SH1 Hampton Downs Rd to Island Block Rd NB,6.7,NA,4,12,8,Link to map - PLACEHOLDER
SH1,NB,1Nd16,South,,Island Block Rd,#N/A,Mercer (Koheroa Rd),#N/A,P,15655.5,Contraflow,NA,,Single lane operates in both direction,SH1 Island Block Rd to Mercer (Koheroa Rd) NB,3.8,NA,3,,0,Link to map - PLACEHOLDER
SH1,NB,1Nd15,South,,Mercer (Koheroa Rd),#N/A,Pokeno,#N/A,P,15655.5,Contraflow,NA,,Single lane operates in both direction,SH1 Mercer (Koheroa Rd) to Pokeno NB,4.2,NA,3,,0,Link to map - PLACEHOLDER
SH1,NB,1Nd14,South,,Pokeno,#N/A,Nikau Rd,SH1 Nikau Rd Interchange NB,P,15655.5,Contraflow,NA,,Single lane operates in both direction,SH1 Pokeno to Nikau Rd NB,4.7,NA,4,,0,Link to map - PLACEHOLDER
SH1,NB,1Nd13,South,,Nikau Rd,SH1 Nikau Rd Interchange NB,Mill Rd (Bombay),SH1 Mill Rd Interchange NB,P,15655.5,Contraflow,1,,Single lane operates in both direction,SH1 Nikau Rd to Mill Rd (Bombay) NB,3,NA,2,,0,Link to map - PLACEHOLDER
SH1,NB,1Nd12,South,,Mill Rd (Bombay),SH1 Mill Rd Interchange NB,Drury,SH1 Drury Interchange NB,Q,19041.75,Full Closure,NA,,GSR,SH1 Mill Rd (Bombay) to Drury NB,10.4,10.9,7,10,3,Link to map - PLACEHOLDER
SH1,NB,1Nd11,South,P2D,Drury,SH1 Drury Interchange NB,Papakura,SH1 Papakura Interchange NB,L,7615.44,Full Closure,0,,GSR,SH1 Drury to Papakura NB,4.1,5.9,3,8,5,Link to map - PLACEHOLDER
SH1,NB,1Nd10,South,,Papakura,SH1 Papakura Interchange NB,Manukau,SH1 Gt South Rd / Southwestern Off Ramp to Southwestern On Ramp NB,P,15655.5,Full Closure,NA,,GSR,SH1 Papakura to Manukau NB,9.6,12.2,6,18,12,Link to map - PLACEHOLDER
SH1,NB,1Nd9,Central,,Manukau,SH1 Gt South Rd / Southwestern Off Ramp to Southwestern On Ramp NB,East Tamaki,SH1 East Tamaki Rd Interchange NB,P,15655.5,Full Closure,NA,,GSR,SH1 Manukau to East Tamaki NB,5.1,6.1,4,10,6,Link to map - PLACEHOLDER
SH1,NB,1Nd8,Central,,East Tamaki,SH1 East Tamaki Rd Interchange NB,Mt Wellington Hwy,SH1 Mt Wellington Hwy Interchange NB,P,15655.5,Full Closure,3,OHDS,"GSR, Mt Welly Hwy",SH1 East Tamaki to Mt Wellington Hwy NB,6.3,7.9,5,12,7,Link to map - PLACEHOLDER
SH1,NB,1Nd7,Central,,Mt Wellington Hwy,SH1 Mt Wellington Hwy Interchange NB,Greenlane,SH1 Greenlane East Interchange NB,P,15655.5,Full Closure,3,OHDS,"GSR, ",SH1 Mt Wellington Hwy to Greenlane NB,6.4,7.6,5,12,7,Link to map - PLACEHOLDER
SH1,NB,1Nd6,Central,,Greenlane,SH1 Greenlane East Interchange NB,Symonds St,SH1 Symonds/Wellesley/Port Off Ramp to SH16 Off Ramp NB,O,11319,Full Closure,3,Newmarket Viaduct,GSR/Broadway/Khyber Pass/Grafton Rd,SH1 Greenlane to Symonds St NB,7,8.3,6,12,6,Link to map - PLACEHOLDER
SH1,NB,1Nd5,Central,,Symonds St,SH1 Symonds/Wellesley/Port Off Ramp to SH16 Off Ramp NB,Onewa Rd,SH1 Onewa Rd Interchange NB,R,23378.25,Full Closure + Multi Lane,3,Vic Park Tunnel,Wellesley/Mayoral Dr/Nelson/Fanshawe - multi lane across the AHB,SH1 Symonds St to Onewa Rd NB,7.1,8.2,5,10,5,Link to map - PLACEHOLDER
SH1,NB,1Nd4,North,,Onewa Rd,SH1 Onewa Rd Interchange NB,Constellation Dr,SH1 Upper Harbour Hwy Interchange NB,P,15655.5,Full Closure,3,,Lake Rd/Northcote/Taharoto/Forest Hill Rd/East Coast Rd,SH1 Onewa Rd to Constellation Dr NB,8.3,10.8,5,16,11,Link to map - PLACEHOLDER
SH1,NB,1Nd3,North,NCI,Constellation Dr,SH1 Upper Harbour Hwy Interchange NB,Oteha Valley,SH1 Oteha Valley Rd Interchange NB,O,11319,Full Closure,0,,Paul Matthews/BushRd/Albany Expressway/Oteha Valley,SH1 Constellation Dr to Oteha Valley NB,3.8,6.7,3,12,9,Link to map - PLACEHOLDER
SH1,NB,1Nd2,North,,Oteha Valley,SH1 Oteha Valley Rd Interchange NB,Silverdale,SH1 Silverdale Interchange NB,L,7615.44,Full Closure,NA,,Dairy Flat Hwy,SH1 Oteha Valley to Silverdale NB,13.9,17.8,10,20,10,Link to map - PLACEHOLDER
