Site,Cluster,Free SpeedM,ScM,NM,Free SpeedD,ScD,ND
01N10383,C1,100,65,1.5,60,25,1.2
01N10388,C1,100,65,1.5,60,25,1.2
01N10390,C1,100,65,1.5,60,25,1.2
01N10391,C1,100,65,1.5,60,25,1.2
01N10393,C1,100,65,1.5,60,25,1.2
01N10398,C1,100,65,1.5,60,25,1.2
01N10400,C1,100,65,1.5,60,25,1.2
01N20383,C1,100,65,1.5,60,25,1.2
01N20388,C1,100,65,1.5,60,25,1.2
01N20390,C1,100,65,1.5,60,25,1.2
01N20391,C1,100,65,1.5,60,25,1.2
01N20393,C1,100,65,1.5,60,25,1.2
01N20398,C1,100,65,1.5,60,25,1.2
01N20400,C1,100,65,1.5,60,25,1.2
01N40390,C1,100,65,1.5,60,25,1.2
01N40392,C1,100,65,1.5,60,25,1.2
01N40398,C1,100,65,1.5,60,25,1.2
01N60383,C1,100,65,1.5,60,25,1.2
01N60390,C1,100,65,1.5,60,25,1.2
01N60398,C1,100,65,1.5,60,25,1.2
01N10463,C10,105,90,1.2,80,50,1.1
01N10465,C10,105,90,1.2,80,50,1.1
01N10468,C10,105,90,1.2,80,50,1.1
01N10471,C10,105,90,1.2,80,50,1.1
01N10472,C10,105,90,1.2,80,50,1.1
01N10473,C10,105,90,1.2,80,50,1.1
01N10474,C10,105,90,1.2,80,50,1.1
01N10475,C10,105,90,1.2,80,50,1.1
01N10476,C10,105,90,1.2,80,50,1.1
01N10477,C10,105,90,1.2,80,50,1.1
01N10478,C10,105,90,1.2,80,50,1.1
01N19475,C10,105,90,1.2,80,50,1.1
01N20463,C10,105,90,1.2,80,50,1.1
01N20465,C10,105,90,1.2,80,50,1.1
01N20468,C10,105,90,1.2,80,50,1.1
01N20471,C10,105,90,1.2,80,50,1.1
01N20472,C10,105,90,1.2,80,50,1.1
01N20473,C10,105,90,1.2,80,50,1.1
01N20474,C10,105,90,1.2,80,50,1.1
01N20475,C10,105,90,1.2,80,50,1.1
01N20476,C10,105,90,1.2,80,50,1.1
01N20477,C10,105,90,1.2,80,50,1.1
01N20478,C10,105,90,1.2,80,50,1.1
01N29475,C10,105,90,1.2,80,50,1.1
01N40465,C10,105,90,1.2,80,50,1.1
01N40471,C10,105,90,1.2,80,50,1.1
01N40473,C10,105,90,1.2,80,50,1.1
01N40475,C10,105,90,1.2,80,50,1.1
01N60465,C10,105,90,1.2,80,50,1.1
01N60471,C10,105,90,1.2,80,50,1.1
01N60473,C10,105,90,1.2,80,50,1.1
01N60475,C10,105,90,1.2,80,50,1.1
01N60477,C10,105,90,1.2,80,50,1.1
01810002,C11,100,85,1.3,60,20,1.1
01810003,C11,100,85,1.3,60,20,1.1
01810005,C11,100,85,1.3,60,20,1.1
01819001,C11,100,85,1.3,60,20,1.1
01820001,C11,100,85,1.3,60,20,1.1
01820002,C11,100,85,1.3,60,20,1.1
01820003,C11,100,85,1.3,60,20,1.1
01820005,C11,100,85,1.3,60,20,1.1
01840002,C11,100,85,1.3,60,20,1.1
01860002,C11,100,85,1.3,60,20,1.1
01860004,C11,100,85,1.3,60,20,1.1
01810007,C12,105,85,1.1,55,25,1.1
01810009,C12,105,85,1.1,55,25,1.1
01810010,C12,105,85,1.1,55,25,1.1
