Time,Demand (veh/hr),Capacity (veh),Full Closure Detour Demand,Queue at Start of Interval,Queue at End of Interval,Total Average Delay (veh-mins),Average Delay per Vehicle (min/veh),Detour Demand (veh/hr),Ramp Capacity (veh/hr),With Detour Flow (veh/hr),Detour Capacity (veh),Detour Average Delay per Vehicle (min/veh)
00:15:00,236.0,0.0,0.0,0.0,236.0,0.0,0.0,184.0,1410.0,420.0,1410.0,0.0
00:30:00,236.0,0.0,0.0,236.0,472.0,0.0,0.0,152.0,1410.0,388.0,1410.0,0.0
00:45:00,236.0,0.0,0.0,472.0,708.0,0.0,0.0,132.0,1410.0,368.0,1410.0,0.0
01:00:00,140.0,0.0,0.0,708.0,848.0,0.0,0.0,112.0,1410.0,252.0,1410.0,0.0
01:15:00,140.0,0.0,0.0,848.0,988.0,0.0,0.0,108.0,1410.0,248.0,1410.0,0.0
01:30:00,140.0,0.0,0.0,988.0,1128.0,0.0,0.0,100.0,1410.0,240.0,1410.0,0.0
01:45:00,140.0,0.0,0.0,1128.0,1268.0,0.0,0.0,92.0,1410.0,232.0,1410.0,0.0
02:00:00,128.0,0.0,0.0,1268.0,1396.0,0.0,0.0,92.0,1410.0,220.0,1410.0,0.0
02:15:00,128.0,0.0,0.0,1396.0,1524.0,0.0,0.0,88.0,1410.0,216.0,1410.0,0.0
02:30:00,128.0,0.0,0.0,1524.0,1652.0,0.0,0.0,84.0,1410.0,212.0,1410.0,0.0
02:45:00,128.0,0.0,0.0,1652.0,1780.0,0.0,0.0,96.0,1410.0,224.0,1410.0,0.0
03:00:00,188.0,0.0,0.0,1780.0,1968.0,0.0,0.0,100.0,1410.0,288.0,1410.0,0.0
03:15:00,188.0,0.0,0.0,1968.0,2156.0,0.0,0.0,96.0,1410.0,284.0,1410.0,0.0
03:30:00,188.0,0.0,0.0,2156.0,2344.0,0.0,0.0,104.0,1410.0,292.0,1410.0,0.0
03:45:00,188.0,0.0,0.0,2344.0,2532.0,0.0,0.0,120.0,1410.0,308.0,1410.0,0.0
04:00:00,272.0,0.0,0.0,2532.0,2804.0,0.0,0.0,144.0,1410.0,416.0,1410.0,0.0
04:15:00,272.0,0.0,0.0,2804.0,3076.0,0.0,0.0,122.0,1410.0,394.0,1410.0,0.0
04:30:00,272.0,0.0,0.0,3076.0,3348.0,0.0,0.0,144.0,1410.0,416.0,1410.0,0.0
04:45:00,272.0,0.0,0.0,3348.0,3620.0,0.0,0.0,232.0,1410.0,504.0,1410.0,0.0
05:00:00,728.0,0.0,0.0,3620.0,4348.0,0.0,0.0,292.0,1410.0,1020.0,1410.0,0.0
05:15:00,728.0,3600.0,0.0,4348.0,1476.0,0.0,0.0,268.0,1410.0,268.0,1410.0,0.0
05:30:00,728.0,3600.0,0.0,1476.0,0.0,0.0,0.0,368.0,1410.0,368.0,1410.0,0.0
05:45:00,728.0,3600.0,0.0,0.0,0.0,0.0,0.0,572.0,1410.0,572.0,1410.0,0.0
06:00:00,1756.0,3600.0,0.0,0.0,0.0,0.0,0.0,684.0,1410.0,684.0,1410.0,0.0
06:15:00,1756.0,3600.0,0.0,0.0,0.0,0.0,0.0,576.0,1410.0,576.0,1410.0,0.0
06:30:00,1756.0,3600.0,0.0,0.0,0.0,0.0,0.0,764.0,1410.0,764.0,1410.0,0.0
06:45:00,1756.0,3600.0,0.0,0.0,0.0,0.0,0.0,894.0,1410.0,894.0,1410.0,0.0
07:00:00,2328.0,3600.0,0.0,0.0,0.0,0.0,0.0,1088.0,1410.0,1088.0,1410.0,0.0
07:15:00,2328.0,3600.0,0.0,0.0,0.0,0.0,0.0,1014.0,1410.0,1014.0,1410.0,0.0
07:30:00,2328.0,3600.0,0.0,0.0,0.0,0.0,0.0,1164.0,1410.0,1164.0,1410.0,0.0
07:45:00,2328.0,3600.0,0.0,0.0,0.0,0.0,0.0,1148.0,1410.0,1148.0,1410.0,0.0
08:00:00,2356.0,3600.0,0.0,0.0,0.0,0.0,0.0,1254.0,1410.0,1254.0,1410.0,0.0
08:15:00,2356.0,3600.0,0.0,0.0,0.0,0.0,0.0,1160.0,1410.0,1160.0,1410.0,0.0
