Time,Demand (veh/hr),Capacity (veh),Average Delay per Vehicle (min/veh)
00:15:00,184.0,1410.0,0.0
00:30:00,152.0,1410.0,0.0
00:45:00,132.0,1410.0,0.0
01:00:00,112.0,1410.0,0.0
01:15:00,108.0,1410.0,0.0
01:30:00,100.0,1410.0,0.0
01:45:00,92.0,1410.0,0.0
02:00:00,92.0,1410.0,0.0
02:15:00,88.0,1410.0,0.0
02:30:00,84.0,1410.0,0.0
02:45:00,96.0,1410.0,0.0
03:00:00,100.0,1410.0,0.0
03:15:00,96.0,1410.0,0.0
03:30:00,104.0,1410.0,0.0
03:45:00,120.0,1410.0,0.0
04:00:00,144.0,1410.0,0.0
04:15:00,122.0,1410.0,0.0
04:30:00,144.0,1410.0,0.0
04:45:00,232.0,1410.0,0.0
05:00:00,292.0,1410.0,0.0
05:15:00,268.0,1410.0,0.0
05:30:00,368.0,1410.0,0.0
05:45:00,572.0,1410.0,0.0
06:00:00,684.0,1410.0,0.0
06:15:00,576.0,1410.0,0.0
06:30:00,764.0,1410.0,0.0
06:45:00,894.0,1410.0,1.5855704697986577
07:00:00,1088.0,1410.0,5.2458639705882355
07:15:00,1014.0,1410.0,10.747041420118343
07:30:00,1164.0,1410.0,14.310567010309278
07:45:00,1148.0,1410.0,20.402874564459932
08:00:00,1254.0,1410.0,24.611244019138756
08:15:00,1160.0,1410.0,33.09698275862069
08:30:00,1178.0,1410.0,38.499575551782684
08:45:00,1144.0,1410.0,45.62281468531469
09:00:00,1060.0,1410.0,54.8561320754717
09:15:00,964.0,1410.0,65.09595435684648
09:30:00,898.0,1410.0,73.65534521158129
09:45:00,848.0,1410.0,80.96992924528301
10:00:00,840.0,1410.0,84.22321428571429
10:15:00,776.0,1410.0,93.1604381443299
10:30:00,784.0,1410.0,93.64477040816327
10:45:00,804.0,1410.0,92.97574626865672
11:00:00,828.0,1410.0,92.29166666666667
11:15:00,800.0,1410.0,97.565625
11:30:00,824.0,1410.0,96.67172330097087
11:45:00,832.0,1410.0,97.95973557692308
12:00:00,854.0,1410.0,97.86007025761124
12:15:00,828.0,1410.0,103.39673913043478
12:30:00,844.0,1410.0,103.76481042654028
12:45:00,854.0,1410.0,105.07903981264637
13:00:00,904.0,1410.0,102.15431415929204
13:15:00,884.0,1410.0,107.6725113122172
13:30:00,932.0,1410.0,105.39431330472102
13:45:00,940.0,1410.0,108.18351063829788
14:00:00,968.0,1410.0,108.91270661157024
14:15:00,980.0,1410.0,111.69642857142857
14:30:00,1092.0,1410.0,104.78708791208791
14:45:00,1164.0,1410.0,103.75644329896907
15:00:00,1212.0,1410.0,105.625
15:15:00,1180.0,1410.0,114.73093220338983
15:30:00,1304.0,1410.0,109.99808282208589
15:45:00,1348.0,1410.0,113.31787833827893
16:00:00,1360.0,1410.0,119.47610294117646
16:15:00,1316.0,1410.0,130.68579027355622
16:30:00,1330.0,1410.0,136.2800751879699
16:45:00,1316.0,1410.0,144.77393617021278
17:00:00,1340.0,1410.0,149.15485074626866
17:15:00,1328.0,1410.0,157.60730421686748
17:30:00,1316.0,1410.0,166.07712765957447
17:45:00,1332.0,1410.0,171.05292792792793
18:00:00,1304.0,1410.0,181.77722392638037
18:15:00,1248.0,1410.0,196.796875
18:30:00,1204.0,1410.0,210.4796511627907
18:45:00,1060.0,1410.0,245.11556603773585
19:00:00,956.0,1410.0,276.53504184100416
19:15:00,836.0,1410.0,319.6561004784689
19:30:00,792.0,1410.0,339.4791666666667
19:45:00,704.0,1410.0,382.8302556818182
20:00:00,640.0,1410.0,420.33984375
20:15:00,608.0,1410.0,440.46463815789474
20:30:00,600.0,1410.0,443.8125
20:45:00,564.0,1410.0,468.86968085106383
21:00:00,544.0,1410.0,481.9439338235294
21:15:00,536.0,1410.0,484.5195895522388
21:30:00,528.0,1410.0,486.94602272727275
21:45:00,488.0,1410.0,520.8043032786885
22:00:00,452.0,1410.0,554.4856194690266
22:15:00,420.0,1410.0,587.125
22:30:00,396.0,1410.0,611.4583333333334
22:45:00,344.0,1410.0,689.2805232558139
23:00:00,300.0,1410.0,771.225
23:15:00,304.0,1410.0,741.1924342105264
23:30:00,280.0,1410.0,782.5982142857143
23:45:00,244.0,1410.0,870.8299180327868
00:00:00,192.0,1410.0,1068.6328125
