Ref,SH,Plan Number,Detour Distance (km),Detour Speed (km/hr),Normal Distance ,Normal Speed ,Urban Road Class,Minimum # lane for Urban Road,Rural Road Directional Split,Rural Road Roadway Width,Terrain Type,% of Heavy Vehicle,Other Manual Capacity Input?,Detour Travel Time (min/veh),Normal Travel Time (min/veh),Rural Road Directional Adjustement,Rural Road Roadway Width Adjustement,Rural Road % Heavy Vehicle Adjustement,Urban Road Capacity,Rural Road Capacity,Detour Capacity (veh/hr),Detour Delay (min/veh),,,(for Input tab),,(From detour),,,
SH1S_1,SH1S,1,3,35,1.8,105,Class I,2,,,,,,5.142857143,1.028571429,-,-,-,2400,-,2400,4.114285714,http://g.co/maps/ta8kr,2 lane RT from Fanshawe to Hobson,1060426.12,01N60426,"Jasmine Lau:
closure between Fanshawe St Off-Ramp and Cook St Off-Ramp SBD",,,
SH1S_2,SH1S,2,3,40,1.8,105,Class I,2,,,,,,4.5,1.028571429,-,-,-,2400,-,2400,3.471428571,http://g.co/maps/ta8kr,2 lane RT from Fanshawe to Hobson,1060426.12,01N60426,"Jasmine Lau:
closure between Cook St off-Ramp and Hobson St On-Ramp SBD",,,
SH1S_3,SH1S,3,3.8,40,2.7,105,Class I,1,,,,,,5.7,1.542857143,-,-,-,1200,-,1200,4.157142857,http://g.co/maps/qm5r9,1 lane RT from K Road to Symonds Street on Ramp,1060426.12,01N60426,"Jasmine Lau:
closure between Hobson St On-Ramp and Symonds St On-Ramp SBD",,,
SH1S_4,SH1S,4,5,40,3.7,105,Class I,1,,,,,,7.5,2.114285714,-,-,-,1200,-,1200,5.385714286,http://g.co/maps/a52pe,1 lane LT from Symonds to Khybers,1060426.12,01N60426,"Jasmine Lau:
Closure between Symonds St On-Ramp and Khyber Pass Rd On-Ramp SBD",,,
SH1S_5,SH1S,5,7.2,40,5.2,105,Class I,1,,,,,,10.8,2.971428571,-,-,-,1200,-,1200,7.828571429,http://g.co/maps/sjbrg,1 lane LT from Symonds to Khybers,1060426.12,01N60426,"Jasmine Lau:
closure between Khyber Pass Rd On-Ramp and Gillies Ave Off-Ramp SBD",,,
SH1S_6,SH1S,6,2.4,40,1.2,105,Class I,1,,,,,,3.6,0.685714286,-,-,-,1200,-,1200,2.914285714,http://g.co/maps/ef4gz,1 lane LT from Gillies to Owen,1060429.51,01N60429,"Jasmine Lau:
closure between Gillies Ave Off-Ramp and St Marks Rd On-Ramp SBD",,,
SH1S_7,SH1S,7,4.1,40,3.4,105,Class I,1,,,,,,6.15,1.942857143,-,-,-,1200,-,1200,4.207142857,http://goo.gl/maps/nFs0K,1 lane LT from Gillies to Owen,1060429.51,01N60429,"Jasmine Lau:
closure between St Marks Rd On-Ramp and Market Rd Off-Ramp SBD",,,
SH1S_8,SH1S,8,2.4,40,1.9,105,Class I,1,,,,,,3.6,1.085714286,-,-,-,1200,-,1200,2.514285714,http://g.co/maps/469be,1 lane LT from Market to Great South,1060431.52,01N60431,"Jasmine Lau:
closure between Market Rd Off-Ramp and Green Lane East Off-Ramp SBD",,,
SH1S_8A,SH1S,8A,3.4,40,2.6,105,Class I,1,,,,,,5.1,1.485714286,-,-,-,1200,-,1200,3.614285714,http://g.co/maps/26wxx,1 lane on Ramp,1060432.86,01N60432,"Yi-Min Huang:
Greenlane IC SBD",,,
SH1S_9,SH1S,9,3.4,40,2.6,105,Class I,1,,,,,,5.1,1.485714286,-,-,-,1200,-,1200,3.614285714,http://g.co/maps/26wxx,1 lane LT from Greenlane to Great South,1060432.86,01N60432,"Jasmine Lau:
closure between Green Lane East On-Ramp and Ellerslie-Panmure Highway Off-Ramp SBD",,,
