SiteBlock,SiteBlock2,SiteIDLookUp,Description,RampMain,Direction,LaneNumbs,TotalCapacity,TMPCapacity,RampReroute,DataSource,Cluster,FreeSpeedM,ScM,NM,FreeSpeedD,ScD,ND,DetourPlan,DetourDistance,DetourSpeed,Distance,Speed ,DetourCap,DetourDelay
SH16 Alten St to Waterview WB,SH16 Alten St to Waterview WB,01610001,SH16 Alten Rd to Grafton Rd Off Ramp WB,Mainline,WB,2,3600,1400,NA,Website Mar-19,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Grafton Rd On Ramp to Alten Rd EB,SH16 Grafton Rd On Ramp to Alten Rd EB,01620001,SH16 Grafton Rd On Ramp to Alten Rd EB,Mainline,EB,3,5400,1400,01640002,Website Mar-19,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,01629001,SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,Mainline,EB,2,3600,1400,01640002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,01619001,SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,Mainline,WB,2,3600,1400,01660002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,01610002,SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,Mainline,WB,2,3600,1400,01660001,Website Mar-18,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Wellesley St to Quay St (Port) EB,SH16 Wellesley St to Quay St (Port) EB,01620002,SH16 Wellesley St Off Ramp to Southern SH1 On Ramp EB,Mainline,EB,2,3600,1400,01640002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,01629002,SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,Mainline,EB,2,3600,1400,01640002,Any2018-scaled,C5,95,70,1.1,55,15,1.1,SH16_116,1.7,60,1.3,80,1200,0.725
SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,01619002,SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,Mainline,WB,1,3600,1400,01660001,Website Year2014,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,01610003,SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,Mainline,WB,1,1900,1400,01660001,Any2018-scaled,C5,95,70,1.1,55,15,1.1,NA,NA,NA,NA,NA,NA,NA
SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,01610004,SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,Mainline,WB,2,3600,1400,NA,Website Year2014,C15,70,25,1.5,40,25,1.5,NA,NA,NA,NA,NA,NA,NA
