Site Block,SiteID LookUp,Description,Ramp/Mainline,SH,RS,RP,Direction,Number of Lane(s),Normal Total Capacity,Mon_Thu,Fri,Sat,Sun,Seasonal,Normal Capacity per Lane,TMP Capacity,Ramp reroute,Detour Plan Ref,DataSource
SH16 Alten St to Waterview WB,01610001,SH16 Alten Rd to Grafton Rd Off Ramp WB,Mainline,16,0,1.3,WB,2,3600,2667.35004,2617.905986,2093.963324,1878.226825,0,1800,1400,,#N/A,Website Mar-19
SH16 Grafton Rd On Ramp to Alten Rd EB,01620001,SH16 Grafton Rd On Ramp to Alten Rd EB,Mainline,16,0,1.3,EB,3,5400,2104.75,2158.8,1464.2,1308.8,0,1800,1400,01640002,SH16_116,Website Mar-19
SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,01629001,SH16 Southern SH1 On Ramp to Grafton Rd On Ramp EB,Mainline,16,0,1.55,EB,2,3600,2058.682914,2384.321088,1598.72087,1313.451308,0,1800,1400,01640002,SH16_116,Any2018-scaled
SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,01619001,SH16 Grafton Rd Off Ramp to Southern SH1 Off Ramp WB,Mainline,16,0,1.56,WB,2,3600,2404.358558,2644.07348,2070.061794,1536.330598,0,1800,1400,01660002,#N/A,Any2018-scaled
SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,01610002,SH16 Southern SH1 Off Ramp to Wellesley St On Ramp WB,Mainline,16,0,2,WB,2,3600,2404.358558,2644.07348,2070.061794,1536.330598,0,1800,1400,01660001,NA,Website Mar-18
SH16 Wellesley St to Quay St (Port) EB,01620002,SH16 Wellesley St Off Ramp to Southern SH1 On Ramp EB,Mainline,16,0,2.01,EB,2,3600,1745.187508,0,1005.018544,871.1842632,0,1800,1400,01640002,SH16_116,Any2018-scaled
SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,01629002,SH16 Northern SH1 On Ramp to Wellesley St Off Ramp EB,Mainline,16,0,2.4,EB,2,3600,3091.212033,1298.073656,1613.598099,1380.212075,0,1800,1400,01640002,SH16_116,Any2018-scaled
SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,01619002,SH16 Wellesley St On Ramp to Northern SH1 Off Ramp WB,Mainline,16,0,2.5,WB,1,3600,3553.344623,3592.84403,2659.006791,2087.476003,0,3600,1400,01660001,NA,Website Year2014
SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,01610003,SH16 Northern SH1 Off Ramp to Southern SH1 On Ramp WB,Mainline,16,0,3,WB,1,1900,1730.03193,1802.370833,1148.868431,905.5625792,0,1900,1400,01660001,NA,Any2018-scaled
SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,01610004,SH16 Southern SH1 On Ramp to Northern SH1 & Hobson St On Ramp WB,Mainline,16,0,3.4,WB,2,3600,3232.86817,3546.435033,3087.412585,2476.60486,0,1800,1400,,#N/A,Website Year2014
SH16 Northern SH1 & Nelson St Off Ramp to Southern SH1 Off Ramp EB,01620004,SH16 Northern SH1 & Nelson St Off Ramp to Southern SH1 Off Ramp EB,Mainline,16,0,3.5,EB,3,5400,3742.886813,3751.571917,2637.275989,2314.953432,0,1800,1400,01640003,#N/A,Website Year2014
SH16 Northern SH1 & Hobson On Ramp to Newton Rd On Ramp WB,01619004,SH16 Northern SH1 & Hobson On Ramp to Newton Rd On Ramp WB,Mainline,16,0,3.8,WB,2,6400,6108.6113,6330.885356,5364.785828,4373.682664,0,3200,1400,,#N/A,Website Year2014
SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,01610005,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB,Mainline,16,0,5,WB,4,7200,7154.974356,6330.885356,6122.953596,4947.480544,0,1800,1400,01660006,SH16_126,Website Year2014
SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,01620005,SH16 St Lukes Rd On Ramp to Newton Rd Off Ramp EB,Mainline,16,0,5,EB,4,7600,7341,6283.2,5233.6,5041.333332,0,1900,1400,01640006,SH16_155,Website Mar-18
SH16 St Lukes Rd Interchange WB,01610006,SH16 St Lukes Rd Interchange WB,Mainline,16,0,6.06,WB,4,7200,6005.403396,5019.317528,4706.272232,3762.29972,0,1800,1400,01660006,SH16_126,Website Year2014
SH16 St Lukes Rd Interchange EB,01620006,SH16 St Lukes Rd Interchange EB,Mainline,16,0,6.06,EB,4,7200,6785.05,5763.2,3972,3770.666667,0,1800,1400,01640006,SH16_155,Website Mar-18
